AGENT_VERSION,CLUSTER_TYPE,ARCHITECTURE,K8S_VERSION,OS,Kernel,runtime_type,runtime_version,TYPE_INSTALLATION,AGENT_INSTALL_METHOD
12.5.0-rc,,arm64,,Ubuntu 16.04.7 LTS (Xenial Xerus),4.15.0-1099-aws,docker,18.09.7,AGENT,docker
12.7.0-rc,,x86_64,,Ubuntu 18.04.6 LTS (Bionic Beaver),5.4.0-1080-aws,docker,20.10.7,AGENT,docker
12.7.0-rc,okd4,x86_64,v1.19.16+6175753,Red Hat Enterprise Linux CoreOS 46.82.202203141332-0 (Ootpa),4.18.0-193.79.1.el8_2.x86_64,cri-o,1.19.5-3.rhaos4.6.git91f8458.el8,SLIM & AGENT,kubernetes & helm
SMAGENT-4225-linux-arm64,,arm64,,Amazon Linux 2,5.10.149-133.644.amzn2.aarch64,docker,20.10.17,SLIM,docker
12.8.0-rc2,,x86_64,,CentOS Linux 7 (Core),3.10.0-1160.71.1.el7.x86_64,docker,20.10.17,AGENT,docker
12.9.1-rc1,,arm64,,Red Hat Enterprise Linux 8.7 (Ootpa),4.18.0-425.3.1.el8.aarch64,docker,20.10.21,SLIM,docker
12.10.1-rc1,,x86_64,,Ubuntu 22.04.1 LTS (Jammy Jellyfish),5.15.0-1026-aws,docker,20.10.12,SLIM,docker
12.10.1-rc1,,x86_64,,Amazon Linux 2022,5.15.73-45.135.amzn2022.x86_64,docker,20.10.17,SLIM,docker
12.6.0-rc,kops,x86_64,v1.22.0,Ubuntu 20.04.4 LTS,5.13.0-1021-aws,containerd,1.4.12,SLIM & AGENT,kubernetes & helm
12.10.0-rc1,,x86_64,,Red Hat Enterprise Linux 8.7 (Ootpa),4.18.0-425.3.1.el8.x86_64,docker,20.10.21,SLIM,docker
12.10.0-rc1,,x86_64,,SLES 15-SP4,5.14.21-150400.24.33-default,docker,20.10.17-ce,SLIM,docker
SMAGENT3619-linux-amd64,,x86_64,,CentOS Linux 7 (Core),3.10.0-1160.62.1.el7.x86_64,docker,20.10.14,AGENT,docker
12.9.1-rc2,,arm64,,Ubuntu 22.04.1 LTS (Jammy Jellyfish),5.15.0-1022-aws,docker,20.10.12,SLIM,docker
12.9.1-rc2,kops,x86_64,v1.25.4,Ubuntu 20.04.5 LTS,5.15.0-1022-aws,containerd,1.6.8,SLIM & AGENT,kubernetes & helm
12.9.1-rc2,gke,x86_64,v1.23.8-gke.1900,Container-Optimized OS from Google,5.10.127+,containerd,1.5.13,SLIM & AGENT,kubernetes & helm
12.7.0-rc,kops,arm64,v1.21.0,Ubuntu 20.04.4 LTS,5.13.0-1031-aws,containerd,1.4.12,AGENT,helm
12.8.0-rc1,,x86_64,,Ubuntu 18.04.6 LTS (Bionic Beaver),5.4.0-1080-aws,,,AGENT,native
12.8.0-rc2,kops,x86_64,v1.20.0,Ubuntu 20.04.4 LTS,5.13.0-1031-aws,containerd,1.4.13,SLIM,helm
